step, s/batch, lr, train_loss, dev.anlp_dev_loss, dev.hch_mcc, dev.hch_f1, dev.hch_precision, dev.hch_recall, dev.nci_mcc, dev.nci_f1, dev.nci_precision, dev.nci_recall
14464, 3.04, 9.375e-05, 2.35, 3.303, 0.529, 64.6, 76.1, 56.1, 0.386, 56.3, 53.4, 59.5
14592, 3.22, 8.75e-05, 2.43, 3.287, 0.525, 64.3, 75.4, 56.1, 0.376, 55.6, 52.7, 58.7
14720, 2.94, 8.125e-05, 2.32, 3.287, 0.536, 65.1, 76.6, 56.5, 0.375, 55.5, 52.6, 58.8
14848, 2.96, 7.5e-05, 2.35, 3.285, 0.539, 65.7, 75.9, 57.9, 0.379, 56.0, 52.4, 60.1
14976, 2.96, 6.875e-05, 2.35, 3.292, 0.537, 65.3, 76.3, 57.2, 0.379, 55.9, 52.6, 59.8
15104, 3.19, 6.25e-05, 2.38, 3.292, 0.534, 65.0, 76.3, 56.6, 0.374, 55.4, 52.8, 58.2
15232, 3.06, 5.625e-05, 2.32, 3.291, 0.537, 65.3, 76.5, 57.0, 0.371, 55.1, 52.6, 57.9
15360, 3.03, 5e-05, 2.34, 3.295, 0.541, 65.6, 76.7, 57.3, 0.373, 55.3, 52.8, 58.1
15488, 2.97, 4.375e-05, 2.33, 3.29, 0.54, 65.6, 76.2, 57.6, 0.372, 55.3, 52.5, 58.4
15616, 3.0, 3.75e-05, 2.38, 3.285, 0.537, 65.2, 76.4, 56.9, 0.383, 56.0, 53.4, 58.9
15744, 3.11, 3.125e-05, 2.36, 3.288, 0.536, 65.1, 76.4, 56.7, 0.378, 55.6, 53.2, 58.4
15872, 3.14, 2.5e-05, 2.29, 3.289, 0.535, 65.2, 76.1, 57.0, 0.379, 55.7, 53.2, 58.6
16000, 3.01, 1.875e-05, 2.36, 3.29, 0.54, 65.5, 76.5, 57.3, 0.375, 55.5, 52.7, 58.6
16128, 2.85, 1.25e-05, 2.34, 3.289, 0.533, 64.9, 76.2, 56.6, 0.379, 55.8, 52.8, 59.2
16256, 2.97, 6.25e-06, 2.34, 3.288, 0.534, 65.1, 76.2, 56.7, 0.375, 55.5, 52.7, 58.7
16384, 3.0, 0.0, 2.39, 3.288, 0.53, 64.7, 75.9, 56.4, 0.381, 55.9, 53.1, 59.2
